time,cpu
1528530847,5
1528532607,5
1528534404,4
1528536237,4
1528538033,4
1528539792,4
1528541622,4
1528543456,4
1528545230,4
1528548835,34
1528550628,23
1528552402,16
1528554175,14
1528556042,14
1528557799,11
1528559613,10
1528561413,10
1528563203,9
1528565018,8
1528566827,6
1528568575,5
1528570464,5
1528572187,5
1528573984,4
1528575813,4
1528577623,4
1528579397,4
1528581289,4
1528583002,4
1528584794,4
1528586674,4
1528588406,4
1528590227,4
1528592043,4
1528593864,4
1528595620,4
1528597395,4
1528599176,4
1528600945,4
1528602744,4
1528604552,5
1528606348,5
1528608168,4
1528609958,4
1528611788,4
1528613616,4
1528615421,5
1528617229,4
1528619021,4
1528620787,4
1528622587,5
1528624411,5
1528626223,4
1528628068,4
1528629840,4
1528631625,4
1528633408,4
1528635231,4
1528637181,4
1528638804,4
1528640596,4
1528642431,5
1528644353,4
1528646168,4
1528647861,4
1528649620,4
1528651395,4
1528653188,4
1528654994,4
1528656798,4
1528658592,4
1528660377,5
1528662240,4
1528664025,4
1528665841,5
1528667641,4
1528669411,4
1528671452,4
1528673273,4
1528675053,4
1528676881,4
1528678681,4
1528680501,4
1528682282,5
1528684056,5
1528685692,4
1528687460,4
1528689292,5
1528691075,4
1528692830,4
1528694678,4
1528696463,5
1528698292,5
1528700333,5
1528701892,4
1528703798,5
1528705557,4
1528707336,4
1528709131,4
1528711000,4
1528712684,4
1528714478,4
1528716334,4
1528718239,5
1528720114,4
1528721771,4
1528723498,5
1528725276,4
1528727112,4
1528728968,4
1528730783,8
1528732722,23
1528734395,22
1528736088,15
1528738178,13
1528739974,13
1528741701,14
1528743483,12
1528745306,12
1528747234,11
1528748894,10
1528750722,9
1528752553,8
1528754369,8
1528756077,7
1528757884,6
1528759682,5
1528761464,5
1528763319,5
1528765048,4
1528766930,4
1528768629,4
1528770472,4
1528772287,4
1528773937,5
1528775636,4
1528777480,4
1528779307,4
1528781092,4
1528783108,4
1528784912,4
1528786610,4
1528788307,4
1528790374,4
1528792154,4
1528793950,5
1528795780,5
1528797673,4
1528799454,5
1528801241,5
1528803238,5
1528805008,4
1528806550,4
1528808337,4
1528810082,5
1528811886,5
1528814016,4
1528815462,5
1528817403,4
1528819222,5
1528820841,4
1528822653,4
1528824442,4
1528826213,4
1528828034,5
1528829850,4
1528831636,5
1528833456,4
1528835262,4
1528837141,4
1528839012,4
1528840656,4
1528842430,4
1528846092,5
1528847792,4
1528849646,4
1528851497,4
1528853272,4
1528855181,4
1528856850,5
1528858652,9
1528860426,18
1528862197,12
1528864020,10
